Hours,INTERNATIONAL,Seats,Pitch,Width,Relative,LAMBDA,QUALITY
6.91,1,216,32,17,1.64,0.1,6
6.91,1,216,32,17,1.64,0.1,6
9.5,1,147,32,18,1.56,0.13,6
6.91,1,216,32,17,1.44,0.1,6
9.5,1,147,32,18,1.17,0.13,6
13,1,389,32,18,1.16,0.09,6
13,1,389,32,18,1.16,0.09,6
9.5,1,147,32,18,0.63,0.13,6
6.91,1,216,32,17,0.56,0.1,6
8.33,1,200,32,17,0.36,0.12,6
8.33,1,200,32,17,0.36,0.12,6
8.33,1,200,32,17,0.36,0.12,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
8.33,1,147,32,18,0.08,0.13,6
7.33,1,147,32,18,0.08,0.13,6
7.33,1,147,32,18,0.08,0.13,6
7.33,1,147,32,18,0.08,0.13,6
7.5,1,389,32,18,0.08,0.09,6
7.5,1,389,32,18,0.08,0.09,6
7.5,1,200,32,17,0.08,0.12,6
6.83,1,147,32,18,0.07,0.13,6
6.83,1,147,32,18,0.07,0.13,6
6.83,1,200,32,17,0.07,0.12,6
8.75,1,200,32,17,0.07,0.12,6
8.75,1,200,32,17,0.07,0.12,6
8.75,1,200,32,17,0.07,0.12,6
10.66,1,389,32,18,0.07,0.09,6
10.66,1,389,32,18,0.07,0.09,6
10.66,1,389,32,18,0.07,0.09,6
8.91,1,147,32,18,0.07,0.13,6
8.91,1,147,32,18,0.07,0.13,6
8.91,1,147,32,18,0.07,0.13,6
7.66,1,200,32,17,0.04,0.12,6
6.83,1,200,32,17,0.04,0.12,6
6.83,1,200,32,17,0.04,0.12,6
8.41,1,389,32,18,0.04,0.09,6
8.5,1,389,32,18,0.04,0.09,6
8.5,1,389,32,18,0.04,0.09,6
